versiono,display_name,name
0,read timesheets,TIMESHEETSENTITY_READ
0,create tokenverification,TOKENVERIFICATIONENTITY_CREATE
0,create permission,PERMISSIONENTITY_CREATE
0,delete usersrole,USERSROLEENTITY_DELETE
0,create userspermission,USERSPERMISSIONENTITY_CREATE
0,update userspermission,USERSPERMISSIONENTITY_UPDATE
0,create role,ROLEENTITY_CREATE
0,read users,USERSENTITY_READ
0,read tokenverification,TOKENVERIFICATIONENTITY_READ
0,update usersrole,USERSROLEENTITY_UPDATE
0,update timesheets,TIMESHEETSENTITY_UPDATE
0,read projects,PROJECTSENTITY_READ
0,delete permission,PERMISSIONENTITY_DELETE
0,update users,USERSENTITY_UPDATE
0,read userspreference,USERSPREFERENCEENTITY_READ
0,create tasks,TASKSENTITY_CREATE
0,update tasks,TASKSENTITY_UPDATE
0,update userspreference,USERSPREFERENCEENTITY_UPDATE
0,read rolepermission,ROLEPERMISSIONENTITY_READ
0,update tokenverification,TOKENVERIFICATIONENTITY_UPDATE
0,create jwtentity,JWTENTITYENTITY_CREATE
0,update jwtentity,JWTENTITYENTITY_UPDATE
0,read jwtentity,JWTENTITYENTITY_READ
0,create usersrole,USERSROLEENTITY_CREATE
0,delete jwtentity,JWTENTITYENTITY_DELETE
0,create projects,PROJECTSENTITY_CREATE
0,update projects,PROJECTSENTITY_UPDATE
0,update rolepermission,ROLEPERMISSIONENTITY_UPDATE
0,delete role,ROLEENTITY_DELETE
0,delete tokenverification,TOKENVERIFICATIONENTITY_DELETE
0,read tasks,TASKSENTITY_READ
0,create timesheets,TIMESHEETSENTITY_CREATE
0,read permission,PERMISSIONENTITY_READ
0,update permission,PERMISSIONENTITY_UPDATE
0,delete userspermission,USERSPERMISSIONENTITY_DELETE
0,create rolepermission,ROLEPERMISSIONENTITY_CREATE
0,read role,ROLEENTITY_READ
0,read usersrole,USERSROLEENTITY_READ
0,delete users,USERSENTITY_DELETE
0,delete timesheets,TIMESHEETSENTITY_DELETE
0,delete userspreference,USERSPREFERENCEENTITY_DELETE
0,read userspermission,USERSPERMISSIONENTITY_READ
0,update role,ROLEENTITY_UPDATE
0,create users,USERSENTITY_CREATE
0,create userspreference,USERSPREFERENCEENTITY_CREATE
0,delete tasks,TASKSENTITY_DELETE
0,delete projects,PROJECTSENTITY_DELETE
0,delete rolepermission,ROLEPERMISSIONENTITY_DELETE
